Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
KRKR,36Kr Holdings Inc. American Depositary Shares,$4.02,-0.28,-6.512%,165062868.0,China,2019.0,5976,Real Estate,Real Estate
XNET,Xunlei Limited American Depositary Shares,$5.90,0.07,1.201%,1839975953.0,China,2014.0,155394,Technology,Computer Software: Prepackaged Software
GRND,Grindr Inc. Common Stock,$12.665,0.115,0.916%,2344895785.0,Singapore,2021.0,972531,Technology,Computer Software: Programming Data Processing
NEGG,Newegg Commerce Inc. Common Shares,$37.65,2.77,7.942%,733746317.0,China,2010.0,47694,Consumer Discretionary,Other Specialty Stores
SLGB,Smart Logistics Global Limited Ordinary Shares,$0.8951,0.0251,2.885%,36699100.0,Hong Kong,2025.0,44186,Industrials,Integrated Freight & Logistics
ALPS,ALPS Group Inc Ordinary Share,$1.11,0.1481,15.397%,184704362.0,Malaysia,,33684,,
MENS,Jyong Biotech Ltd. Ordinary Shares,$1.9784,0.2784,16.376%,150413136.0,Taiwan,2025.0,166732,Health Care,Biotechnology: Pharmaceutical Preparations
JZXN,Jiuzi Holdings Inc. Ordinary Shares,$1.08,-0.02,-1.818%,1435148.0,China,2021.0,194371,Consumer Discretionary,Retail-Auto Dealers and Gas Stations
MATH,Metalpha Technology Holding Limited Ordinary Shares,$1.01,0.0,0.00%,43841142.0,China,2017.0,21701,Finance,Finance/Investors Services
SIFY,Sify Technologies Limited American Depositary Shares,$14.365,0.475,3.42%,1039313496.0,India,,41237,Technology,Computer Software: Programming Data Processing
HXHX,Haoxin Holdings Limited Class A Ordinary Shares,$0.4574,0.0075,1.667%,6289250.0,China,2025.0,24772,Industrials,Trucking Freight/Courier Services
XTKG,X3 Holdings Co. Ltd. Class A Ordinary Shares,$1.11,0.0,0.00%,10778071.0,China,2019.0,65476,Technology,EDP Services
MTC,MMTec Inc. Common Shares,$6.25,0.34,5.753%,157417900.0,China,2019.0,20804,Technology,Computer Software: Prepackaged Software
MSW,Ming Shing Group Holdings Limited Ordinary Shares,$0.8956,-0.3344,-27.187%,11620410.0,Hong Kong,2024.0,84799,Consumer Discretionary,Engineering & Construction
CRE,Cre8 Enterprise Limited Class A Ordinary Shares,$2.70,-0.12,-4.255%,5437687.0,Hong Kong,2025.0,10241,Consumer Discretionary,Publishing
MGIH,Millennium Group International Holdings Limited Ordinary Shares,$1.415,-0.185,-11.563%,15918750.0,Hong Kong,2023.0,47085,Consumer Discretionary,Publishing
EDTK,Skillful Craftsman Education Technology Limited Ordinary Share,$1.00,-0.03,-2.913%,15929451.0,China,2020.0,908,Real Estate,Other Consumer Services
BLIV,BeLive Holdings Ordinary Share,$2.38,0.16,7.207%,25858229.0,Singapore,2025.0,7326,Technology,EDP Services
HIHO,Highway Holdings Limited Common Stock,$0.8377,0.0357,4.451%,3854949.0,Hong Kong,,111744,Industrials,Metal Fabrications
WOK,WORK Medical Technology Group LTD Class A Ordinary Shares,$1.12,0.01,0.901%,1931556.0,China,2024.0,17777,Health Care,Medical/Dental Instruments
DAO,Youdao Inc. American Depositary Shares each representing one Class A Ordinary Share,$10.365,0.115,1.122%,1239335266.0,China,2019.0,42521,Real Estate,Other Consumer Services
GLXG,Galaxy Payroll Group Limited Class A Ordinary Shares,$2.20,-0.215,-8.903%,13115333.0,Hong Kong,2024.0,5932,Industrials,Diversified Commercial Services
JEM,707 Cayman Holdings Limited Ordinary Shares,$0.0888,-0.0042,-4.516%,1712451.0,China,2025.0,1040034,Consumer Discretionary,Clothing/Shoe/Accessory Stores
FLEX,Flex Ltd. Ordinary Shares,$65.21,3.57,5.792%,23976016584.0,Singapore,1994.0,1679967,Technology,Electrical Products
DQ,DAQO New Energy Corp. American Depositary Shares each representing five ordinary shares,$21.18,0.44,2.122%,1420261224.0,China,2010.0,379732,Technology,Semiconductors
RDY,Dr. Reddy's Laboratories Ltd Common Stock,$13.735,-0.025,-0.182%,11461244438.0,India,,3430739,Health Care,Biotechnology: Pharmaceutical Preparations
CHNR,China Natural Resources Inc. Common Stock,$4.73,0.18,3.956%,5833135.0,Hong Kong,,136083,Basic Materials,Precious Metals
WRD,WeRide Inc. American Depositary Shares,$7.1101,0.7601,11.97%,2023028967.0,China,2024.0,23541426,Technology,EDP Services
GTEC,Greenland Technologies Holding Corporation Class A Ordinary Shares,$0.7176,0.0059,0.829%,12482097.0,China,2018.0,94906,Industrials,Industrial Machinery/Components
HDB,HDFC Bank Limited Common Stock,$25.405,0.015,0.059%,130023463410.0,India,2001.0,15638052,Finance,Commercial Banks
LPL,LG Display Co Ltd AMERICAN DEPOSITORY SHARES,$4.305,0.285,7.09%,4305000000.0,South Korea,2004.0,2550288,Technology,Industrial Machinery/Components
CURR,Currenc Group Inc. Ordinary Shares,$2.405,-0.245,-9.245%,184250523.0,Singapore,,136038,Real Estate,Real Estate
KC,Kingsoft Cloud Holdings Limited American Depositary Shares,$13.75,0.48,3.617%,3742552729.0,China,2020.0,1344213,Technology,Computer Software: Prepackaged Software
MKDW,MKDWELL Tech Inc. Ordinary Share,$2.2287,0.0387,1.767%,7908992.0,Taiwan,,2468,Technology,Consumer Electronics/Appliances
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,$339.9425,10.7025,3.251%,1763127633888.0,Taiwan,1997.0,14104299,Technology,Semiconductors
CANG,Cango Inc. Class A Ordinary Shares,$0.4512,0.0304,7.224%,46829197.0,China,2025.0,1750488,Technology,Computer Software: Prepackaged Software
PDC,Perpetuals.com Ltd American Depositary Shares,$5.061,-0.089,-1.728%,15438935.0,Japan,2023.0,7432,Technology,EDP Services
WIMI,WiMi Hologram Cloud Inc. Class B Ordinary Shares,$1.75,0.11,6.707%,8593205.0,China,2020.0,58207,Technology,Computer Software: Prepackaged Software
STAK,STAK Inc. Class A Ordinary Shares,$1.00,-0.02,-1.961%,13210349.0,China,2025.0,455993,Consumer Discretionary,Oil and Gas Field Machinery
MEGL,Magic Empire Global Limited Class A Ordinary Shares,$1.06,0.015,1.435%,5367893.0,Hong Kong,2022.0,92174,Finance,Finance: Consumer Services
MGRT,Mega Fortune Company Limited Ordinary Shares,$7.65,0.19,2.547%,105187500.0,Hong Kong,2025.0,1937,Technology,EDP Services
IBN,ICICI Bank Limited Common Stock,$26.54,0.46,1.764%,94688609324.0,India,,5862585,Finance,Commercial Banks
PN,Skycorp Solar Group Limited Ordinary Shares,$0.6226,-0.0773,-11.044%,16810200.0,China,2025.0,11719,Technology,Retail: Computer Software & Peripheral Equipment
BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight Ordinary share,$126.39,3.98,3.251%,291869831455.0,China,2014.0,13298354,Real Estate,Real Estate
ORKT,Orangekloud Technology Inc. Class A Ordinary Shares,$1.022,0.0679,7.117%,5968225.0,Singapore,2024.0,108433,Technology,Computer Software: Prepackaged Software
PERF,Perfect Corp. Class A Ordinary Share,$1.69,0.04,2.424%,172124254.0,Taiwan,2022.0,112246,Technology,Computer Software: Prepackaged Software
CAN,Canaan Inc. American Depositary Shares,$0.4468,0.0086,1.963%,296055439.0,China,2019.0,8335173,Technology,Semiconductors
FOFO,Hang Feng Technology Innovation Co. Ltd. Ordinary Shares,$4.27,0.04,0.946%,28459550.0,Hong Kong,2025.0,24611,Consumer Discretionary,Professional Services
SJ,Scienjoy Holding Corporation Class A Ordinary Shares ,$1.44,0.05,3.597%,60484893.0,China,2019.0,3824,Technology,EDP Services
CMCM,Cheetah Mobile Inc. American Depositary Shares each representing fifty (50) Class A Ordinary Shares,$7.2476,0.4776,7.055%,5560845164.0,China,2022.0,69232,Technology,Computer Software: Prepackaged Software
