Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AAMI,Acadian Asset Management Inc. Common Stock,$52.22,-2.22,-4.078%,1865432501.00,United Kingdom,2014,172773,Finance,Investment Managers
AEBI,Aebi Schmidt Holding AG Common Stock ,$9.41,0.17,1.84%,730210203.00,Switzerland,,487622,Industrials,Auto Manufacturing
AEG,Aegon Ltd. New York Registry Shares,$6.86,-0.14,-2.00%,13762430692.00,Netherlands,,4143567,Finance,Life Insurance
AMRZ,Amrize Ltd Ordinary Shares,$53.80,-1.40,-2.536%,29775616510.00,Switzerland,2025,1776464,Industrials,Building Materials
ARBK,Argo Blockchain plc American Depositary Shares,$3.00,0.00,0.00%,40079016.00,United Kingdom,2021,10906,Finance,Finance: Consumer Services
AXIN,Axiom Intelligence Acquisition Corp 1 Class A Ordinary Shares,$10.13,0.00,0.00%,0.00,United Kingdom,2025,100118,Finance,Blank Checks
AXINR,Axiom Intelligence Acquisition Corp 1 Right,$0.1899,-0.01,-5.003%,0.00,United Kingdom,2025,400,Finance,Blank Checks
AXINU,Axiom Intelligence Acquisition Corp 1 Units,$10.28,-0.08,-0.772%,0.00,United Kingdom,2025,8055,Finance,Blank Checks
BBVA,Banco Bilbao Vizcaya Argentaria S.A. Common Stock,$20.42,-0.50,-2.39%,116577140854.00,Spain,,1601285,Finance,Commercial Banks
BCS,Barclays PLC Common Stock,$20.24,-0.42,-2.033%,70364826249.00,United Kingdom,,6177871,Finance,Commercial Banks
BETR,Better Home & Finance Holding Company Class A Common Stock,$30.66,-2.46,-7.428%,504353689.00,United Kingdom,2021,315011,Finance,Finance: Consumer Services
BETRW,Better Home & Finance Holding Company Warrant,$0.1846,-0.0855,-31.655%,3036650.00,United Kingdom,2021,160094,Finance,Finance: Consumer Services
BGL,Blue Gold Limited Class A Ordinary Shares,$1.14,0.03,2.703%,40068392.00,United Kingdom,,233508,Basic Materials,Metal Mining
BGLWW,Blue Gold Limited Warrant,$0.2125,-0.0038,-1.757%,7468889.00,United Kingdom,,113595,Basic Materials,Metal Mining
CB,Chubb Limited  Common Stock,$319.09,-5.22,-1.61%,124518180864.00,Switzerland,,1643664,Finance,Property-Casualty Insurers
CNCK,Coincheck Group N.V. Ordinary Shares,$1.66,-0.09,-5.143%,225639023.00,Netherlands,,73831,Finance,Finance: Consumer Services
