Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
DDD,3D Systems Corporation Common Stock,$2.3725,-0.0775,-3.163%,305430938.0,United States,,3470322,Technology,Computer Software: Prepackaged Software
IQV,IQVIA Holdings Inc. Common Stock,$171.5625,0.6325,0.37%,29117186730.0,United States,2013.0,538063,Health Care,Biotechnology: Commercial Physical & Biological Resarch
SCCE,Sachem Capital Corp. 6.00% Notes due 2027,$23.80,0.1222,0.516%,1126746454.0,United States,2022.0,2762,Real Estate,Real Estate Investment Trusts
CDW,CDW Corporation Common Stock,$118.41,-0.24,-0.202%,15274130755.0,United States,2013.0,485942,Technology,Retail: Computer Software & Peripheral Equipment
FRSH,Freshworks Inc. Class A Common Stock,$8.005,0.005,0.063%,2274502196.0,United States,2021.0,3334174,Technology,Computer Software: Prepackaged Software
LBRX,LB Pharmaceuticals Inc Common Stock,$24.68,0.66,2.748%,624381837.0,United States,2025.0,192149,Health Care,Biotechnology: Pharmaceutical Preparations
SMTC,Semtech Corporation Common Stock,$86.10,-1.48,-1.69%,7967698908.0,United States,,623381,Technology,Semiconductors
REXR,Rexford Industrial Realty Inc. Common Stock,$35.11,-0.61,-1.708%,8140037117.0,United States,2013.0,1121208,Real Estate,Real Estate Investment Trusts
TRIP,TripAdvisor Inc. Common Stock,$9.775,-0.365,-3.60%,1121732285.0,United States,,2823128,Technology,Computer Software: Programming Data Processing
PD,PagerDuty Inc. Common Stock,$7.385,-0.245,-3.211%,677771698.0,United States,2019.0,1952134,Technology,Computer Software: Prepackaged Software
VEEV,Veeva Systems Inc. Class A Common Stock,$187.13,-2.56,-1.35%,30760776526.0,United States,2013.0,705841,Technology,Computer Software: Prepackaged Software
FOLD,Amicus Therapeutics Inc. Common Stock,$14.375,0.015,0.104%,4513760235.0,United States,2007.0,3893870,Health Care,Biotechnology: Pharmaceutical Preparations
PI,Impinj Inc. Common Stock,$97.94,5.19,5.596%,2960891327.0,United States,2016.0,774081,Technology,Industrial Machinery/Components
BRSP,BrightSpire Capital Inc. Class A Common Stock,$5.67,-0.06,-1.047%,729316485.0,United States,2018.0,403570,Real Estate,Real Estate Investment Trusts
TRDA,Entrada Therapeutics Inc. Common Stock,$13.32,0.12,0.909%,509947049.0,United States,2021.0,141730,Health Care,Biotechnology: Pharmaceutical Preparations
PRCT,PROCEPT BioRobotics Corporation Common Stock,$26.84,2.67,11.047%,1513512861.0,United States,2021.0,2657222,Health Care,Medical/Dental Instruments
VSH,Vishay Intertechnology Inc. Common Stock,$17.44,0.13,0.751%,2368251546.0,United States,,608115,Technology,Electrical Products
ATEC,Alphatec Holdings Inc. Common Stock,$12.62,0.11,0.879%,1910120544.0,United States,2006.0,1279273,Health Care,Medical/Dental Instruments
GPCR,Structure Therapeutics Inc. American Depositary Shares,$58.065,-0.155,-0.266%,4113429814.0,United States,2023.0,490470,Health Care,Biotechnology: Pharmaceutical Preparations
DV,DoubleVerify Holdings Inc. Common Stock,$10.60,-0.01,-0.094%,1717072493.0,United States,2021.0,1437125,Technology,Computer Software: Programming Data Processing
TNDM,Tandem Diabetes Care Inc. Common Stock,$21.66,-0.22,-1.005%,1479939579.0,United States,2013.0,1099429,Health Care,Medical/Dental Instruments
KYTX,Kyverna Therapeutics Inc. Common Stock,$8.74,-0.49,-5.309%,499293651.0,United States,2024.0,423150,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CLPT,ClearPoint Neuro Inc. Common Stock,$11.56,0.24,2.12%,328573440.0,United States,,415373,Health Care,Medical/Dental Instruments
BBAI,BigBear.ai Inc. Common Stock,$4.095,0.025,0.614%,1949451683.0,United States,2021.0,33434090,Technology,Computer Software: Prepackaged Software
CVLT,Commvault Systems Inc. Common Stock,$80.72,0.35,0.435%,3549612519.0,United States,2006.0,629778,Technology,Computer Software: Prepackaged Software
PSTG,Everpure Inc. Class A common stock,$62.27,1.23,2.015%,20559788583.0,United States,2015.0,1625074,Technology,Electronic Components
RLMD,Relmada Therapeutics Inc. Common Stock,$6.29,-0.33,-4.985%,461268482.0,United States,,1537523,Health Care,Biotechnology: Pharmaceutical Preparations
KIDS,OrthoPediatrics Corp. Common Stock,$17.66,-0.15,-0.842%,446423378.0,United States,2017.0,55649,Health Care,Medical/Dental Instruments
AMH,American Homes 4 Rent Common Shares of Beneficial Interest,$28.68,-0.84,-2.846%,10433103882.0,United States,2013.0,2363805,Real Estate,Real Estate Investment Trusts
