col,value
AUDUSD,0.7129209637641907
BZ,103.13999938964844
EURUSD,1.2017642259597778
GBPUSD,1.382533073425293
GC,5318.39990234375
NZDUSD,0.6391900181770325
USDCAD,1.4716999530792236
USDCHF,0.9209700226783752
USDJPY,161.60699462890625
^DJI,50188.140625
^GSPC,6978.60009765625
^IXIC,23958.470703125
^RUT,2718.77001953125
^VIX1D,81.88999938964844
close_range,1.0000000000000147
country_Canada,1.0
country_China,1.0
country_United States,1.0
day_of_week,4.0
hl_range,1.19517547858976
index,1249.0
log_return,1.9307761380965784
mom_10,5.699999809265137
mom_20,7.5615388636053105
mom_5,5.894859528570733
mom_rank,20.670666110966426
mom_vol_adj,27.808229257197866
sector_Health Care,1.0
sector_Real Estate,1.0
sector_Technology,1.0
target,3.0
time_since_high,1249.0
trend_50,4.246774499154088
vol_10,0.991638556184204
vol_20,0.8438477174629405
vol_ratio,1.4482079938577006
vol_regime,2.4806799662771772
volume_shock,19.27567227030074
volume_zscore,4.248432131595693
zscore_20,4.238351150502486
