col,value
AUDUSD,0.595528781414032
BZ,58.91999816894531
EURUSD,1.0244431495666504
GBPUSD,1.2078461647033691
GC,1816.5999755859375
NZDUSD,0.5518489480018616
USDCAD,1.3112499713897705
USDCHF,0.7631999850273132
USDJPY,133.46499633789062
^DJI,32417.58984375
^GSPC,4055.989990234375
^IXIC,11799.16015625
^RUT,1636.93994140625
^VIX1D,7.010000228881836
close_range,-2.5680005394366867e-14
country_Canada,0.0
country_China,0.0
country_United States,0.0
day_of_week,0.0
hl_range,3.919414445462957e-05
index,108.0
log_return,-1.1454327776155613
mom_10,-0.6506358460883874
mom_20,-0.7285600997430794
mom_5,-0.6819137726011281
mom_rank,-5.9347822317787555
mom_vol_adj,-12.219827629997386
sector_Health Care,0.0
sector_Real Estate,0.0
sector_Technology,0.0
target,-3.0
time_since_high,0.0
trend_50,-0.6777318381079859
vol_10,0.000489404231620712
vol_20,0.0012391820882115556
vol_ratio,0.003948568453743181
vol_regime,0.0057142648469411216
volume_shock,4.851973564507231e-05
volume_zscore,-2.9781499659973516
zscore_20,-4.194140939190542
