col,value
AUDUSD,0.7129209637641907
BZ,112.19000244140625
CNYUSD,0.14617960155010223
EURUSD,1.2017642259597778
GBPUSD,1.382533073425293
GC,5318.39990234375
NZDUSD,0.6391900181770325
USDCAD,1.4716999530792236
USDCHF,0.9209700226783752
USDJPY,161.60699462890625
^DJI,50188.140625
^GSPC,6978.60009765625
^IXIC,23958.470703125
^RUT,2718.77001953125
^VIX1D,81.88999938964844
close_range,inf
country_China,1.0
country_Hong Kong,1.0
country_India,1.0
country_Japan,1.0
country_Kazakhstan,1.0
country_Macau,1.0
country_Malaysia,1.0
country_Philippines,1.0
country_Singapore,1.0
country_South Korea,1.0
country_Taiwan,1.0
day_of_week,4.0
hl_range,0.38710649258989543
log_return,0.41058342992356617
mom_10,0.7492089487460378
mom_20,1.0980648158929545
mom_5,0.5076971642879861
mom_rank,3.408599502836242
mom_vol_adj,6.774127216235707
sector_Basic Materials,1.0
sector_Consumer Discretionary,1.0
sector_Consumer Staples,1.0
sector_Energy,1.0
sector_Finance,1.0
sector_Health Care,1.0
sector_Industrials,1.0
sector_Miscellaneous,1.0
sector_Real Estate,1.0
sector_Technology,1.0
sector_Telecommunications,1.0
sector_Utilities,1.0
target,5.0
time_since_high,1250.0
trend_50,0.7596621062473597
vol_10,0.482714465222712
vol_20,0.5571060227960938
vol_ratio,1.3876274244794633
vol_regime,2.205683131592492
volume_shock,8.394452479247612
volume_zscore,3.9971624842902487
zscore_20,2.903523698016891
