Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AACG,ATA Creativity Global American Depositary Shares,$0.9724,-0.0576,-5.592%,41792715.0,China,2008,13493,Real Estate,Other Consumer Services
AAPG,Ascentage Pharma Group International American Depository Shares,$22.32,3.21,16.797%,1943327516.0,China,2025,14198,Health Care,Biotechnology: Pharmaceutical Preparations
ABLV,Able View Global Inc. Class B Ordinary Shares,$0.6349,0.0,0.00%,31357661.0,China,,161,Consumer Discretionary,Other Consumer Services
ABLVW,Able View Global Inc. Warrant,$0.0166,0.0001,0.606%,819873.0,China,,896,Consumer Discretionary,Other Consumer Services
ABTS,Abits Group Inc Ordinary Shares,$2.53,-0.025,-0.978%,5996087.0,China,,6083,Technology,Computer Software: Programming Data Processing
ACCL,Acco Group Holdings Limited Class A Ordinary Shares,$1.34,-0.0599,-4.279%,18626000.0,Hong Kong,2025,28366,Consumer Discretionary,Professional Services
ADAG,Adagene Inc. American Depositary Shares,$3.92,0.29,7.989%,184754578.0,China,2021,154022,Health Care,Biotechnology: Pharmaceutical Preparations
ADVB,Advanced Biomed Inc. Common Stock,$4.18,0.03,0.723%,5703760.0,Taiwan,2025,12645,Health Care,Medical Specialities
AEHL,Antelope Enterprise Holdings Limited Class A Ordinary Shares,$1.66,0.08,5.063%,6274158.0,China,,195375,Industrials,Building Materials
AGCC,Agencia Comercial Spirits Ltd Class A Ordinary Shares,$15.20,1.15,8.185%,518532800.0,Taiwan,2025,252041,Consumer Staples,Beverages (Production/Distribution)
AGMH,AGM Group Holdings Inc. Class A Ordinary Shares,$1.04,-0.02,-1.887%,3638888.0,Hong Kong,2018,33153,Technology,EDP Services
AGRZ,Agroz Inc. Ordinary Shares,$0.4949,0.018,3.774%,10107583.0,Malaysia,2025,1789042,Consumer Staples,Farming/Seeds/Milling
AHG,Akso Health Group ADS,$2.40,0.04,1.695%,1324466825.0,China,2017,176048,Real Estate,Real Estate
AIFU,AIFU Inc. Class A Ordinary Share,$1.62,-0.07,-4.142%,199987558.0,China,2007,7657,Finance,Specialty Insurers
AIHS,Senmiao Technology Limited Common Stock,$1.51,0.0,0.00%,6881808.0,China,2018,26757,Finance,Finance: Consumer Services
AIOS,AIOS Tech Inc. Class A Common Shares,$0.6021,0.0001,0.017%,2889091.0,China,2016,17752,Industrials,Metal Fabrications
AIXI,XIAO-I Corporation American Depositary Shares,$0.1292,0.004,3.195%,1609875.0,China,2023,931659,Technology,Computer Software: Prepackaged Software
AMBO,Ambow Education Holding Ltd. American Depository Shares (each representing twenty (20) Class A Ordinary Shares),$2.03,0.0,0.00%,5806454.0,China,,5515,Real Estate,Other Consumer Services
AMBR,Amber International Holding Limited American Depositary Shares,$2.39,0.13,5.752%,223902191.0,Hong Kong,2017,41184,Finance,Finance: Consumer Services
ANPA,Rich Sparkle Holdings Limited Ordinary Shares,$8.55,0.03,0.352%,129120005.0,Hong Kong,2025,24193,Consumer Discretionary,Other Consumer Services
ANTA,Antalpha Platform Holding Company Class A Ordinary Shares,$7.38,0.0,0.00%,174853418.0,Singapore,2025,177,Finance,Investment Bankers/Brokers/Service
API,Agora Inc. American Depositary Shares,$3.54,0.04,1.143%,331028023.0,China,2020,925238,Technology,Computer Software: Prepackaged Software
APM,Aptorum Group Limited Class A Ordinary Shares,$1.21,0.13,12.037%,8643946.0,Hong Kong,2018,533940,Health Care,Biotechnology: Pharmaceutical Preparations
APWC,Asia Pacific Wire & Cable Corporation Ltd. Ordinary Shares (Bermuda),$1.37,-0.015,-1.083%,28244231.0,Taiwan,,12167,Industrials,Telecommunications Equipment
ARBB,ARB IOT Group Limited Ordinary Shares,$4.41,-0.755,-14.618%,7784779.0,Malaysia,2023,12212,Technology,EDP Services
ASPC,A SPAC III Acquisition Corp. Class A Ordinary Shares,$10.96,0.07,0.643%,0.0,China,2025,1616,Finance,Blank Checks
ASPCR,A SPAC III Acquisition Corp. Right,$0.188,0.0,0.00%,0.0,China,2025,191,Finance,Blank Checks
ASPCU,A SPAC III Acquisition Corp. Unit,$11.07,0.32,2.977%,0.0,China,2024,508,Finance,Blank Checks
ASX,ASE Technology Holding Co. Ltd. American Depositary Shares (each representing Two Common Shares) ,$21.68,0.37,1.736%,47874703232.0,Taiwan,2018,5749807,Technology,Semiconductors
ATAT,Atour Lifestyle Holdings Limited American Depositary Shares,$35.94,-0.94,-2.549%,4966403079.0,China,2022,1372007,Consumer Discretionary,Hotels/Resorts
ATGL,Alpha Technology Group Limited Class A Ordinary Shares,$17.10,-0.2,-1.156%,281508750.0,China,2023,1521,Technology,EDP Services
ATHM,Autohome Inc. American Depositary Shares each representing four class A ordinary shares.,$17.93,-0.09,-0.499%,2123696169.0,China,2013,643600,Technology,EDP Services
ATPC,Agape ATP Corporation Common Stock,$2.08,-0.11,-5.023%,2081123.0,Malaysia,,41163,Health Care,Medical/Nursing Services
ATXG,Addentax Group Corp. Common Stock,$0.36,0.0376,11.663%,4217525.0,China,,524793,Consumer Discretionary,Professional Services
AURE,Aurelion Inc. Class A Ordinary Shares,$1.93,0.14,7.821%,66775746.0,Hong Kong,2023,22555,Finance,Finance: Consumer Services
