col,value
000300.SS,5083.7998046875
399001.SZ,15212.490234375
AUDUSD,0.7585699558258057
CL,123.69999694824219
CNYJPY,23.249290466308594
HG,6.17549991607666
NZDUSD,0.71986985206604
SGDUSD,0.7932101488113403
USDCNY,7.349999904632568
USDHKD,7.850500106811523
USDJPY,161.60699462890625
^AXJO,9175.2998046875
^GSPC,6978.60009765625
^HSI,27968.08984375
^KS11,6307.27001953125
^N225,58753.390625
^NDX,26022.7890625
^STI,5020.7900390625
^TWII,35414.48828125
^VIX,52.33000183105469
close_range,1.0
country_China,1.0
country_Hong Kong,1.0
country_India,1.0
country_Japan,1.0
country_Kazakhstan,1.0
country_Macau,1.0
country_Malaysia,1.0
country_Philippines,1.0
country_Singapore,1.0
country_South Korea,1.0
country_Taiwan,1.0
day_of_week,4.0
hl_range,0.38710649258989543
log_return,0.41058342992356617
mom_10,0.7492089487460378
mom_20,1.0980648158929545
mom_5,0.5076971642879861
mom_rank,3.4085995136617084
mom_vol_adj,6.77412188881576
sector_Basic Materials,1.0
sector_Consumer Discretionary,1.0
sector_Consumer Staples,1.0
sector_Energy,1.0
sector_Finance,1.0
sector_Health Care,1.0
sector_Industrials,1.0
sector_Miscellaneous,1.0
sector_Real Estate,1.0
sector_Technology,1.0
sector_Telecommunications,1.0
sector_Utilities,1.0
target,5.0
time_since_high,1249.0
trend_50,0.7596621062473597
vol_10,0.482714465222712
vol_20,0.5571060227960938
vol_ratio,1.3876274244794633
vol_regime,2.205683131592492
volume_shock,8.394452479247612
volume_zscore,3.9971624842902487
zscore_20,2.903523706674986
