col,value
AUDUSD,0.7129209637641907
BZ,103.13999938964844
EURUSD,1.2017642259597778
GBPUSD,1.382533073425293
GC,5318.39990234375
NZDUSD,0.6391900181770325
USDCAD,1.4716999530792236
USDCHF,0.9209700226783752
USDJPY,161.60699462890625
^DJI,50188.140625
^GSPC,6978.60009765625
^IXIC,23958.470703125
^RUT,2718.77001953125
^VIX1D,81.88999938964844
close_range,inf
country_Belgium,1.0
country_Canada,1.0
country_Denmark,1.0
country_Finland,1.0
country_France,1.0
country_Germany,1.0
country_Greece,1.0
country_Ireland,1.0
country_Isle of Man,1.0
country_Italy,1.0
country_Japan,1.0
country_Luxembourg,1.0
country_Monaco,1.0
country_Netherlands,1.0
country_Norway,1.0
country_South Korea,1.0
country_Spain,1.0
country_Sweden,1.0
country_Switzerland,1.0
country_United Kingdom,1.0
day_of_week,4.0
hl_range,3.691558573253646
index,1249.0
log_return,3.777644634292981
mom_10,77.29717005632577
mom_20,168.37754266839008
mom_5,42.712960378255474
mom_rank,21.647163407063307
mom_vol_adj,163.2108497023715
sector_Basic Materials,1.0
sector_Consumer Discretionary,1.0
sector_Consumer Staples,1.0
sector_Energy,1.0
sector_Finance,1.0
sector_Health Care,1.0
sector_Industrials,1.0
sector_Miscellaneous,1.0
sector_Real Estate,1.0
sector_Technology,1.0
sector_Telecommunications,1.0
sector_Utilities,1.0
target,5.0
time_since_high,1249.0
trend_50,19.16407917718428
vol_10,1.9521059485806713
vol_20,1.6051217404983589
vol_ratio,1.451880342030402
vol_regime,2.5593148266753105
volume_shock,20.0
volume_zscore,4.2485291572496005
zscore_20,4.248529157246545
