col,value
AUDUSD,0.595528781414032
BZ,58.91999816894531
EURUSD,1.0244431495666504
GBPUSD,1.2078461647033691
GC,1816.5999755859375
NZDUSD,0.5518489480018616
USDCAD,1.3112499713897705
USDCHF,0.7631999850273132
USDJPY,133.46499633789062
^DJI,32417.58984375
^GSPC,4055.989990234375
^IXIC,11799.16015625
^RUT,1636.93994140625
^VIX1D,7.010000228881836
close_range,-inf
country_Belgium,0.0
country_Canada,0.0
country_Denmark,0.0
country_Finland,0.0
country_France,0.0
country_Germany,0.0
country_Greece,0.0
country_Ireland,0.0
country_Isle of Man,0.0
country_Italy,0.0
country_Japan,0.0
country_Luxembourg,0.0
country_Monaco,0.0
country_Netherlands,0.0
country_Norway,0.0
country_South Korea,0.0
country_Spain,0.0
country_Sweden,0.0
country_Switzerland,0.0
country_United Kingdom,0.0
day_of_week,0.0
hl_range,0.0
index,108.0
log_return,-3.364407928938659
mom_10,-0.9729393468118196
mom_20,-0.9854762493096546
mom_5,-0.9654175146534099
mom_rank,-6.522206432499733
mom_vol_adj,-14.540193097105094
sector_Basic Materials,0.0
sector_Consumer Discretionary,0.0
sector_Consumer Staples,0.0
sector_Energy,0.0
sector_Finance,0.0
sector_Health Care,0.0
sector_Industrials,0.0
sector_Miscellaneous,0.0
sector_Real Estate,0.0
sector_Technology,0.0
sector_Telecommunications,0.0
sector_Utilities,0.0
target,-5.0
time_since_high,0.0
trend_50,-0.9709066254662094
vol_10,0.0
vol_20,0.0006179209723006972
vol_ratio,0.0
vol_regime,0.0
volume_shock,0.0
volume_zscore,-3.015642110908145
zscore_20,-4.248529157249599
