Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AAMI,Acadian Asset Management Inc. Common Stock,$52.13,1.30,2.558%,1862217470.00,United Kingdom,2014,253239,Finance,Investment Managers
ABCL,AbCellera Biologics Inc. Common Shares,$3.37,-0.03,-0.882%,993022843.00,Canada,2020,2358732,Health Care,Biotechnology: Pharmaceutical Preparations
ABUS,Arbutus Biopharma Corporation Common Stock,$4.42,0.18,4.245%,850072155.00,Canada,,7626064,Health Care,Biotechnology: Pharmaceutical Preparations
ABVE,Above Food Ingredients Inc. Common Stock,$0.88,0.18,25.714%,45048826.00,Canada,,12278122,Consumer Staples,Packaged Foods
ABVEW,Above Food Ingredients Inc. Warrants,$0.283,0.0523,22.67%,14487293.00,Canada,,37808,Consumer Staples,Packaged Foods
ABVX,Abivax SA American Depositary Shares,$115.42,-4.92,-4.088%,9064672673.00,France,2023,1288474,Health Care,Biotechnology: Pharmaceutical Preparations
ACB,Aurora Cannabis Inc. Common Shares,$3.31,0.05,1.534%,187708193.00,Canada,,564267,Health Care, Medicinal Chemicals and Botanical Products 
ACIU,AC Immune SA Common Stock,$2.88,0.03,1.053%,293107890.00,Switzerland,2016,122035,Health Care,Biotechnology: Pharmaceutical Preparations
ACN,Accenture plc Class A Ordinary Shares (Ireland),$200.02,0.03,0.015%,133041710841.00,Ireland,2001,4828323,Real Estate,Real Estate
ACOG,Alpha Cognition Inc. Common Stock,$5.80,0.09,1.576%,126104203.00,Canada,,49909,,
ADCT,ADC Therapeutics SA Common Shares,$4.05,0.19,4.922%,514529642.00,Switzerland,2020,662782,Health Care,Biotechnology: Pharmaceutical Preparations
ADSE,ADS-TEC ENERGY PLC Ordinary Shares,$10.535,-0.455,-4.14%,633390917.00,Ireland,,3190,Consumer Discretionary,Industrial Specialties
ADSEW,ADS-TEC ENERGY PLC Warrant,$0.5666,0.0667,13.343%,34065429.00,Ireland,,19724,Consumer Discretionary,Industrial Specialties
ADUR,Aduro Clean Technologies Inc. Common Stock,$10.87,0.04,0.369%,361742426.00,Canada,,371264,Industrials,Major Chemicals
ADXN,Addex Therapeutics Ltd American Depositary Shares,$6.2197,0.5597,9.889%,10068867.00,Switzerland,,6822,Health Care,Biotechnology: Pharmaceutical Preparations
AEBI,Aebi Schmidt Holding AG Common Stock ,$9.93,0.02,0.202%,770561883.00,Switzerland,,621136,Industrials,Auto Manufacturing
AEC,Anfield Energy Inc. Common Shares,$5.38,0.22,4.264%,85422365.00,Canada,,71297,Basic Materials,Metal Mining
AEG,Aegon Ltd. New York Registry Shares,$6.96,0.15,2.203%,13963049215.00,Netherlands,,8943496,Finance,Life Insurance
