col,value
AUDEUR,0.6983299851417542
BZ,127.9800033569336
CNYEUR,0.14806899428367615
EURCAD,1.6431599855422974
EURCHF,1.093000054359436
EURJPY,186.2899932861328
EURUSD,1.2017642259597778
FTSEMIB.MI,47426.0
GBPEUR,1.2149200439453125
GC,5318.39990234375
NZDEUR,0.6368899941444397
^FCHI,8620.9296875
^N100,1849.6400146484375
^STOXX50E,6173.31982421875
^XDE,120.3740005493164
close_range,1.0
country_Belgium,1.0
country_Cyprus,1.0
country_Denmark,1.0
country_Finland,1.0
country_France,1.0
country_Germany,1.0
country_Greece,1.0
country_Guernsey,1.0
country_Ireland,1.0
country_Italy,1.0
country_Jersey,1.0
country_Luxembourg,1.0
country_Netherlands,1.0
country_Norway,1.0
country_Spain,1.0
country_Sweden,1.0
country_Switzerland,1.0
country_United Kingdom,1.0
day_of_week,4.0
hl_range,0.2281656474032525
log_return,0.2524942869004525
mom_10,0.41572689178113226
mom_20,0.6159784281604809
mom_5,0.2872321421978866
mom_rank,3.0974304113572746
mom_vol_adj,6.983796403764198
sector_Basic Materials,1.0
sector_Consumer Discretionary,1.0
sector_Consumer Staples,1.0
sector_Energy,1.0
sector_Finance,1.0
sector_Health Care,1.0
sector_Industrials,1.0
sector_Miscellaneous,1.0
sector_Real Estate,1.0
sector_Technology,1.0
sector_Telecommunications,1.0
sector_Utilities,1.0
target,5.0
time_since_high,1250.0
trend_50,0.4607824380710119
vol_10,0.2800999123888355
vol_20,0.31609425410889486
vol_ratio,1.3782965056535648
vol_regime,2.061857434936947
volume_shock,5.070662552368013
volume_zscore,3.7209362010772136
zscore_20,2.7412621581516876
