Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AAMI,Acadian Asset Management Inc. Common Stock,$52.22,-2.22,-4.078%,1865432501.00,United Kingdom,2014,172773,Finance,Investment Managers
ABVX,Abivax SA American Depositary Shares,$102.47,-7.01,-6.403%,8114103345.00,France,2023,1757157,Health Care,Biotechnology: Pharmaceutical Preparations
ACIU,AC Immune SA Common Stock,$2.70,-0.19,-6.574%,274788647.00,Switzerland,2016,260562,Health Care,Biotechnology: Pharmaceutical Preparations
ACN,Accenture plc Class A Ordinary Shares (Ireland),$192.60,-3.82,-1.945%,128106356904.00,Ireland,2001,4890091,Real Estate,Real Estate
ADCT,ADC Therapeutics SA Common Shares,$3.70,-0.26,-6.566%,470064117.00,Switzerland,2020,1005371,Health Care,Biotechnology: Pharmaceutical Preparations
ADSE,ADS-TEC ENERGY PLC Ordinary Shares,$11.37,0.62,5.767%,683593234.00,Ireland,,4427,Consumer Discretionary,Industrial Specialties
ADSEW,ADS-TEC ENERGY PLC Warrant,$0.645,0.1951,43.365%,38779036.00,Ireland,,18460,Consumer Discretionary,Industrial Specialties
ADXN,Addex Therapeutics Ltd American Depositary Shares,$6.70,0.40,6.349%,10846409.00,Switzerland,,10528,Health Care,Biotechnology: Pharmaceutical Preparations
AEBI,Aebi Schmidt Holding AG Common Stock ,$9.41,0.17,1.84%,730210203.00,Switzerland,,487622,Industrials,Auto Manufacturing
AEG,Aegon Ltd. New York Registry Shares,$6.86,-0.14,-2.00%,13762430692.00,Netherlands,,4143567,Finance,Life Insurance
AER,AerCap Holdings N.V. Ordinary Shares,$133.38,-0.77,-0.574%,23880853908.00,Netherlands,2006,1079259,Consumer Discretionary,Diversified Commercial Services
AGMB,AgomAb Therapeutics NV American Depositary Shares,$10.85,-1.02,-8.593%,528794052.00,Belgium,2026,67757,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AGRO,Adecoagro S.A. Common Shares,$14.05,0.20,1.444%,1987593802.00,Luxembourg,2011,2062160,Consumer Staples,Farming/Seeds/Milling
AKAN,Akanda Corp. Common Shares,$0.5945,-0.0942,-13.678%,1429702.00,United Kingdom,2022,265804,Health Care, Medicinal Chemicals and Botanical Products 
AKTX,Akari Therapeutics plc ADS,$0.1263,-0.0101,-7.405%,5782185.00,United Kingdom,,385826,Health Care,Biotechnology: Pharmaceutical Preparations
ALC,Alcon Inc. Ordinary Shares,$73.34,-1.13,-1.517%,36647998000.00,Switzerland,2019,1543680,Health Care,Ophthalmic Goods
ALKS,Alkermes plc Ordinary Shares,$29.39,-0.53,-1.771%,4897841560.00,Ireland,1991,2073135,Health Care,Biotechnology: Pharmaceutical Preparations
ALV,Autoliv Inc. Common Stock,$102.53,-2.58,-2.455%,7675621674.00,Sweden,,617775,Consumer Discretionary,Auto Parts:O.E.M.
ALVO,Alvotech Ordinary Shares,$3.11,-0.13,-4.012%,938615655.00,Luxembourg,,317860,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ALVOW,Alvotech Warrant,$0.31,0.00,0.00%,93559760.00,Luxembourg,,37,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AMCR,Amcor plc Ordinary Shares,$38.62,-1.25,-3.135%,17844204548.00,United Kingdom,2019,5557385,Consumer Discretionary,Miscellaneous manufacturing industries
AMRN,Amarin Corporation plc,$14.45,-0.22,-1.50%,294264482.00,Ireland,,60593,Health Care,Biotechnology: Pharmaceutical Preparations
AMRZ,Amrize Ltd Ordinary Shares,$53.80,-1.40,-2.536%,29775616510.00,Switzerland,2025,1776464,Industrials,Building Materials
APTV,Aptiv PLC Ordinary Shares,$67.04,-3.91,-5.511%,14288994428.00,United Kingdom,,2758470,Consumer Discretionary,Auto Parts:O.E.M.
ARBK,Argo Blockchain plc American Depositary Shares,$3.00,0.00,0.00%,40079016.00,United Kingdom,2021,10906,Finance,Finance: Consumer Services
ARGX,argenx SE American Depositary Shares,$691.40,-1.43,-0.206%,42910280763.00,Netherlands,2017,418988,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ARM,Arm Holdings plc American Depositary Shares,$144.13,-10.67,-6.893%,152671720176.00,United Kingdom,2023,10243687,Technology,Semiconductors
ARQQ,Arqit Quantum Inc. Ordinary Shares,$11.78,-0.99,-7.753%,184378899.00,United Kingdom,,206192,Technology,Computer Software: Prepackaged Software
ARQQW,Arqit Quantum Inc. Warrants,$0.1331,0.0031,2.385%,2083262.00,United Kingdom,,14036,Technology,Computer Software: Prepackaged Software
ASML,ASML Holding N.V. New York Registry Shares,$1302.47,-27.03,-2.033%,501994946133.00,Netherlands,1995,1758151,Technology,Industrial Machinery/Components
ASND,Ascendis Pharma A/S American Depositary Shares,$216.95,-3.65,-1.655%,13445998666.00,Denmark,2015,580832,Health Care,Biotechnology: Pharmaceutical Preparations
ASPS,Altisource Portfolio Solutions S.A. Common Stock,$6.80,0.30,4.615%,76696853.00,Luxembourg,,13979,Consumer Discretionary,Other Consumer Services
ASPSW,Altisource Portfolio Solutions S.A. Net Settle Stakeholder Warrants,$0.3804,0.0001,0.026%,4290512.00,Luxembourg,,1182,Consumer Discretionary,Other Consumer Services
ASPSZ,Altisource Portfolio Solutions S.A. Cash Exercise Stakeholder Warrants,$0.1801,-0.0323,-15.207%,2031339.00,Luxembourg,,22645,Consumer Discretionary,Other Consumer Services
ATAI,AtaiBeckley Inc. Common Stock,$3.35,-0.19,-5.367%,1216768917.00,Germany,2008,3253297,Health Care,Biotechnology: Pharmaceutical Preparations
AUTL,Autolus Therapeutics plc American Depositary Share,$1.21,-0.08,-6.202%,322033376.00,United Kingdom,2018,4820638,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AXIN,Axiom Intelligence Acquisition Corp 1 Class A Ordinary Shares,$10.13,0.00,0.00%,0.00,United Kingdom,2025,100118,Finance,Blank Checks
AXINR,Axiom Intelligence Acquisition Corp 1 Right,$0.1899,-0.01,-5.003%,0.00,United Kingdom,2025,400,Finance,Blank Checks
AXINU,Axiom Intelligence Acquisition Corp 1 Units,$10.28,-0.08,-0.772%,0.00,United Kingdom,2025,8055,Finance,Blank Checks
AZN,AstraZeneca PLC Ordinary Shares,$188.42,5.02,2.737%,292187768237.00,United Kingdom,2026,2762887,Health Care,Biotechnology: Pharmaceutical Preparations
BBVA,Banco Bilbao Vizcaya Argentaria S.A. Common Stock,$20.42,-0.50,-2.39%,116577140854.00,Spain,,1601285,Finance,Commercial Banks
BCS,Barclays PLC Common Stock,$20.24,-0.42,-2.033%,70364826249.00,United Kingdom,,6177871,Finance,Commercial Banks
BCYC,Bicycle Therapeutics plc American Depositary Shares,$4.31,-0.19,-4.222%,300437282.00,United Kingdom,2019,855535,Health Care,Biotechnology: Pharmaceutical Preparations
BDRX,Biodexa Pharmaceuticals plc American Depositary Shs,$0.6541,-0.0062,-0.939%,1663094.00,United Kingdom,,129834,Health Care,Biotechnology: Pharmaceutical Preparations
BETR,Better Home & Finance Holding Company Class A Common Stock,$30.66,-2.46,-7.428%,504353689.00,United Kingdom,2021,315011,Finance,Finance: Consumer Services
BETRW,Better Home & Finance Holding Company Warrant,$0.1846,-0.0855,-31.655%,3036650.00,United Kingdom,2021,160094,Finance,Finance: Consumer Services
BGL,Blue Gold Limited Class A Ordinary Shares,$1.14,0.03,2.703%,40068392.00,United Kingdom,,233508,Basic Materials,Metal Mining
BGLWW,Blue Gold Limited Warrant,$0.2125,-0.0038,-1.757%,7468889.00,United Kingdom,,113595,Basic Materials,Metal Mining
BNTX,BioNTech SE American Depositary Share,$85.68,-1.78,-2.035%,21533555131.00,Germany,2019,706282,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BP,BP p.l.c. Common Stock,$46.68,0.51,1.105%,121775070373.00,United Kingdom,,15918921,Energy,Integrated oil Companies
BRNS,Barinthus Biotherapeutics plc American Depositary Shares,$0.55,0.0002,0.036%,22466891.00,United Kingdom,2021,4465,Health Care,Biotechnology: Pharmaceutical Preparations
BTI,British American Tobacco  Industries p.l.c. Common Stock ADR,$57.80,-0.46,-0.79%,126110645277.00,United Kingdom,1998,3737538,Health Care, Medicinal Chemicals and Botanical Products 
BUD,Anheuser-Busch Inbev SA Sponsored ADR (Belgium),$67.57,-0.37,-0.545%,121436803595.00,Belgium,,1746181,Consumer Staples,Beverages (Production/Distribution)
CAPT,Captivision Inc. Ordinary Shares,$0.552,-0.0323,-5.528%,17867971.00,United Kingdom,,806706,Miscellaneous,Industrial Machinery/Components
CAPTW,Captivision Inc. Warrant,$0.06,0.00,0.00%,1942171.00,United Kingdom,,16679,Miscellaneous,Industrial Machinery/Components
CB,Chubb Limited  Common Stock,$319.09,-5.22,-1.61%,124518180864.00,Switzerland,,1643664,Finance,Property-Casualty Insurers
CCEC,Capital Clean Energy Carriers Corp. Common Share,$20.40,0.71,3.606%,1197833185.00,Greece,2007,10361,Consumer Discretionary,Marine Transportation
CCEP,Coca-Cola Europacific Partners plc Ordinary Shares,$91.64,-1.15,-1.239%,41602950160.00,United Kingdom,,1754317,Consumer Staples,Beverages (Production/Distribution)
CDRO,Codere Online Luxembourg S.A. Ordinary Shares,$8.28,-0.23,-2.703%,377905940.00,Luxembourg,,6539,Consumer Discretionary,Services-Misc. Amusement & Recreation
CDROW,Codere Online Luxembourg S.A. Warrants,$0.7199,0.003,0.418%,32856822.00,Luxembourg,,917,Consumer Discretionary,Services-Misc. Amusement & Recreation
CISS,C3is Inc. Common Stock,$0.80,-0.0208,-2.534%,2152994.00,Greece,,116281,Consumer Discretionary,Marine Transportation
CLB,Core Laboratories Inc. Common Stock,$17.61,1.19,7.247%,810948125.00,Netherlands,2023,563552,Energy,Oilfield Services/Equipment
CLLS,Cellectis S.A. American Depositary Shares,$3.08,-0.11,-3.448%,223580262.00,France,2015,20536,Health Care,Biotechnology: Pharmaceutical Preparations
CLVT,Clarivate Plc Ordinary Shares,$2.36,-0.06,-2.479%,1512048654.00,United Kingdom,2019,4069757,Technology,EDP Services
CMPR,Cimpress plc Ordinary Shares (Ireland),$72.18,-1.43,-1.943%,1752905159.00,Netherlands,2005,60840,Consumer Discretionary,Publishing
CMPS,COMPASS Pathways Plc American Depository Shares,$5.37,-0.27,-4.787%,692318094.00,United Kingdom,2020,1676198,Health Care,Biotechnology: Pharmaceutical Preparations
CMRE,Costamare Inc. Common Stock $0.0001 par value,$16.59,-0.27,-1.601%,2000567512.00,Greece,2010,243145,Consumer Discretionary,Marine Transportation
CMRE^B,Costamare Inc. Perpetual Preferred Stock Series B (Marshall Islands),$26.0001,-0.0299,-0.115%,,Greece,,4223,,
CMRE^C,Costamare Inc. Perpetual Preferred Series C (Marshall Islands),$26.30,-0.62,-2.303%,,Greece,,5836,,
CMRE^D,Costamare Inc. 8.75% Series D Cumulative Redeemable Perpetual Preferred Stock,$28.08,0.10,0.357%,,Greece,,2216,,
CNCK,Coincheck Group N.V. Ordinary Shares,$1.66,-0.09,-5.143%,225639023.00,Netherlands,,73831,Finance,Finance: Consumer Services
CNCKW,Coincheck Group N.V. Warrants,$0.1774,0.0007,0.396%,24113471.00,Netherlands,,1082,Finance,Finance: Consumer Services
CNH,CNH Industrial N.V. Common Shares,$10.72,-0.24,-2.19%,13300014699.00,United Kingdom,2013,26129451,Industrials,Construction/Ag Equipment/Trucks
CNTA,Centessa Pharmaceuticals plc American Depositary Shares,$28.70,-0.70,-2.381%,4114320156.00,United Kingdom,2021,1385462,Health Care,Biotechnology: Pharmaceutical Preparations
CRH,CRH PLC Ordinary Shares,$101.74,-1.46,-1.415%,68098593812.00,Ireland,,4852124,Industrials,Building Materials
CRSP,CRISPR Therapeutics AG Common Shares,$45.75,-1.80,-3.785%,4391328024.00,Switzerland,2016,1590500,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CRTO,Criteo S.A. American Depositary Shares,$17.18,-0.46,-2.608%,856579097.00,France,2013,218834,Consumer Discretionary,Advertising
CSTM,Constellium SE Ordinary Shares (France),$23.37,-0.58,-2.422%,3156580548.00,Netherlands,2013,1311675,Industrials,Metal Fabrications
CTRM,Castor Maritime Inc. Common Shares,$1.74,-0.04,-2.247%,16812496.00,Cyprus,,56542,Consumer Discretionary,Marine Transportation
DAC,Danaos Corporation Common Stock,$110.74,-1.62,-1.442%,2015852822.00,Greece,2006,53577,Consumer Discretionary,Marine Transportation
DAVA,Endava plc American Depositary Shares (each representing one Class A Ordinary Share),$4.34,-0.15,-3.341%,235781797.00,United Kingdom,2018,411059,Technology,EDP Services
DB,Deutsche Bank AG Common Stock,$28.37,-0.61,-2.105%,53984514500.00,Germany,,2786965,Finance,Major Banks
DBVT,DBV Technologies S.A. American Depositary Shares,$20.00,-0.21,-1.039%,676454480.00,France,2014,275607,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
DEO,Diageo plc Common Stock,$74.07,0.33,0.448%,41227594950.00,United Kingdom,,1649378,Consumer Staples,Beverages (Production/Distribution)
DHT,DHT Holdings Inc.,$18.10,0.28,1.571%,2914853630.00,Jersey,2005,3390104,Consumer Discretionary,Marine Transportation
DLNG,Dynagas LNG Partners LP Common Units,$4.26,0.03,0.709%,156247351.00,Greece,,81068,Consumer Discretionary,Marine Transportation
DLNG^A,Dynagas LNG Partners LP 9.00% Series A Cumulative Redeemable Preferred Units,$26.29,-0.21,-0.792%,,Greece,,4287,,
DMRA,Damora Therapeutics Inc. Common Stock,$25.50,-0.13,-0.507%,1537731906.00,Denmark,2020,171783,Health Care,Biotechnology: Pharmaceutical Preparations
DOLE,Dole plc Ordinary Shares,$14.73,0.18,1.237%,1401775221.00,Ireland,2021,646208,Consumer Staples,Farming/Seeds/Milling
DOX,Amdocs Limited Ordinary Shares,$64.32,-1.45,-2.205%,6943314348.00,Guernsey,,1273120,Technology,EDP Services
DSX,Diana Shipping inc. common stock,$2.41,-0.03,-1.23%,297730814.00,Greece,2005,561152,Consumer Discretionary,Marine Transportation
DSX^B,Diana Shipping Inc. Perpetual Preferred Shares Series B (Marshall Islands),$26.65,-0.07,-0.262%,,Greece,,3953,,
E,ENI S.p.A. Common Stock,$55.22,1.12,2.07%,86882184798.00,Italy,,671338,Energy,Oil & Gas Production
EDAP,EDAP TMS S.A. American Depositary Shares,$3.73,-0.04,-1.061%,139807808.00,France,1997,35268,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
EDRY,EuroDry Ltd. Common Shares ,$19.87,1.17,6.257%,56166469.00,Greece,,45324,Consumer Discretionary,Marine Transportation
EHLD,Euroholdings Ltd. Common Stock ,$7.44,-0.08,-1.064%,20955616.00,Greece,,7581,Consumer Discretionary,Marine Transportation
ENGS,Energys Group Limited Ordinary Shares,$1.13,-0.01,-0.877%,35316360.00,United Kingdom,2025,264512,Industrials,Engineering & Construction
EQNR,Equinor ASA,$41.53,0.41,0.997%,103836255876.00,Norway,,8502803,Energy,Integrated oil Companies
ERIC,Ericsson American Depositary Shares,$11.14,-0.30,-2.622%,37556858328.00,Sweden,,7165194,Technology,Radio And Television Broadcasting And Communications Equipment
ESEA,Euroseas Ltd. Common Stock (Marshall Islands),$60.81,-1.80,-2.875%,426072076.00,Greece,,84509,Consumer Discretionary,Marine Transportation
ETN,Eaton Corporation PLC Ordinary Shares,$357.36,0.26,0.073%,138650441102.00,Ireland,,2152087,Technology,Industrial Machinery/Components
EVAX,Evaxion A/S American Depositary Share,$3.52,-0.07,-1.95%,29357557.00,Denmark,2021,30246,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
EVO,Evotec SE American Depositary Shares,$2.42,-0.04,-1.626%,214637111.00,Germany,2021,48453,Health Care,Biotechnology: Pharmaceutical Preparations
FER,Ferrovial SE Ordinary Shares,$62.56,-0.33,-0.525%,45009276965.00,Netherlands,,1391709,Industrials,Military/Government/Technical
FERG,Ferguson Enterprises Inc. Common Stock,$224.76,3.45,1.559%,43950909295.00,United Kingdom,2021,945485,Miscellaneous,Miscellaneous
FLUT,Flutter Entertainment plc Ordinary Shares,$100.50,-3.07,-2.964%,17605701957.00,Ireland,2024,3094186,Technology,Computer Software: Programming Data Processing
FMS,Fresenius Medical Care AG American Depositary Shares (Each representing 1/2 of an Ordinary Share),$22.06,-0.33,-1.474%,12322225606.00,Germany,,284429,Health Care,Misc Health and Biotechnology Services
GAMB,Gambling.com Group Limited Ordinary Shares,$3.70,-0.23,-5.852%,129859603.00,Jersey,2021,1046782,Consumer Discretionary,Services-Misc. Amusement & Recreation
GASS,StealthGas Inc. Common Stock,$9.27,-0.05,-0.536%,342792354.00,Greece,2005,70851,Consumer Discretionary,Marine Transportation
GDEV,GDEV Inc. Ordinary Shares,$15.00,-0.99,-6.191%,271951350.00,Cyprus,,2013,Technology,EDP Services
GDEVW,GDEV Inc. Warrant,$0.0055,0.0004,7.843%,99715.00,Cyprus,,125,Technology,EDP Services
